Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Fixed Date
78,Monster Hunter: World,2018,Action,Capcom,0.67,0.17,0,0.09,0.93,1/1/2018
79,Injustice 2,2017,Fighting,Warner Bros. Interactive Entertainment,0.65,0.16,0,0.09,0.89,1/1/2017
80,Resident Evil VII: Biohazard,2017,Action,Capcom,0.51,0.3,0,0.08,0.89,1/1/2017
81,For Honor,2017,Action,Ubisoft,0.57,0.21,0,0.08,0.87,1/1/2017
82,Dishonored 2,2016,Action,Bethesda Softworks,0.47,0.31,0,0.08,0.86,1/1/2016
83,Plants vs. Zombies: Garden Warfare 2,2016,Shooter,Electronic Arts,0.47,0.32,0,0.08,0.86,1/1/2016
84,Madden NFL 25,2013,Sports,EA Sports,0.69,0.06,0,0.09,0.83,1/1/2013
85,Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,0.49,0.25,0.02,0.07,0.83,1/1/2015
86,Guitar Hero Live,2015,Music,Activision,0.52,0.23,0,0.08,0.83,1/1/2015
87,Dark Souls III,2016,Role-Playing,Namco Bandai Games,0.56,0.15,0,0.08,0.79,1/1/2016
88,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,0.44,0.27,0,0.07,0.78,1/1/2015
89,Rare Replay,2015,Misc,Microsoft Studios,0.42,0.27,0.01,0.07,0.78,1/1/2015
90,Mass Effect: Andromeda,2017,Role-Playing,Electronic Arts,0.5,0.2,0,0.07,0.78,1/1/2017
91,Minecraft: Story Mode,2015,Adventure,Mojang,0.46,0.24,0,0.07,0.77,1/1/2015
92,Fortnite,2017,Action,Gearbox Software,0.6,0.09,0,0.08,0.77,1/1/2017
93,Quantum Break,2016,Action,Microsoft Studios,0.42,0.25,0.02,0.07,0.76,1/1/2016
94,Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,0.39,0.3,0,0.06,0.75,1/1/2014
95,Rock Band 4,2015,Music,Harmonix Music Systems,0.62,0.05,0,0.08,0.75,1/1/2015
96,Need for Speed (2015),2015,Racing,Electronic Arts,0.35,0.33,0,0.06,0.74,1/1/2015
97,The Sims 4,2017,Simulation,Electronic Arts,0.42,0.24,0,0.07,0.73,1/1/2017
98,Need for Speed: Payback,2017,Racing,Electronic Arts,0.42,0.24,0,0.07,0.73,1/1/2017
99,Dead Rising 4,2016,Action-Adventure,Microsoft Studios,0.41,0.25,0,0.06,0.73,1/1/2016
100,LEGO Dimensions,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.18,0,0.07,0.72,1/1/2015
101,The Crew,2014,Racing,Ubisoft,0.32,0.34,0,0.06,0.71,1/1/2014
102,Plants vs Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.39,0.25,0,0.06,0.71,1/1/2014
103,Need for Speed Rivals,2013,Racing,Electronic Arts,0.45,0.19,0,0.07,0.7,1/1/2013
104,Wolfenstein II: The New Colossus,2017,Shooter,Bethesda Softworks,0.45,0.19,0,0.07,0.7,1/1/2017
105,The Evil Within,2014,Misc,Bethesda Softworks,0.36,0.27,0,0.06,0.69,1/1/2014
106,LEGO Worlds,2017,Misc,Warner Bros. Interactive Entertainment,0.28,0.35,0,0.05,0.69,1/1/2017
107,Borderlands: The Handsome Collection,2015,Shooter,2K Games,0.49,0.13,0,0.07,0.68,1/1/2015
108,Evolve,2015,Shooter,2K Games,0.4,0.2,0,0.06,0.67,1/1/2015
109,WWE 2K18,2017,Sports,2K Sports,0.35,0.25,0,0.06,0.66,1/1/2017
110,Tomb Raider (2013),2014,Action-Adventure,Square Enix,0.38,0.22,0,0.06,0.66,1/1/2014
111,The LEGO Movie Videogame,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.42,0.17,0,0.06,0.65,1/1/2014
112,WWE 2K16,2015,Sports,Take-Two Interactive,0.34,0.24,0,0.06,0.63,1/1/2015
113,Kinect Sports Rivals,2014,Sports,Microsoft Studios,0.3,0.25,0.02,0.05,0.62,1/1/2014
114,South Park: The Fractured But Whole,2017,Role-Playing,Ubisoft,0.4,0.17,0,0.06,0.62,1/1/2017
115,WWE 2K15,2014,Sports,2K Sports,0.32,0.23,0,0.05,0.61,1/1/2014
116,EA Sports UFC 2,2016,Sports,EA Sports,0.36,0.19,0,0.06,0.61,1/1/2016
117,NHL 17,2016,Sports,EA Sports,0.52,0.01,0,0.06,0.6,1/1/2016
118,Tekken 7,2017,Fighting,Namco Bandai Games,0.3,0.23,0,0.05,0.58,1/1/2017
119,LEGO Marvel Super Heroes 2,2017,Action,Warner Bros. Interactive Entertainment,0.32,0.2,0,0.05,0.57,1/1/2017
120,WWE 2K17,2016,Sports,2K Games,0.26,0.26,0,0.05,0.57,1/1/2016
121,Disney Infinity 2.0: Marvel Super Heroes,2014,Action-Adventure,Disney Interactive Studios,0.35,0.15,0,0.05,0.55,1/1/2014
122,Just Dance 2015,2014,Music,Ubisoft,0.36,0.13,0,0.05,0.54,1/1/2014
123,Dragon Ball Fighter Z,2018,Fighting,Namco Bandai Games,0.38,0.09,0,0.05,0.52,1/1/2018
124,Alien: Isolation,2014,Adventure,Sega,0.23,0.25,0,0.04,0.52,1/1/2014
125,Halo Wars 2,2017,Strategy,Microsoft Studios,0.31,0.15,0,0.05,0.51,1/1/2017
126,NHL 16,2015,Sports,EA Sports,0.41,0.05,0,0.05,0.51,1/1/2015
